booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,status_is_invalid
B1049,P1072,SJ153,2025-07-28 11:37:36.951,INVALID,c7f2104785ac594a,3C,9996a464e508c4af,+91-9199XXXX67,True
B1050,P1884,AI220,2026-01-15 11:37:36.951,PENDING,01d6d16b476bce1a,7D,ebff2b8cb047e9a8,+91-6603XXXX82,False
B1051,P1922,6F028,2025-07-05 11:37:36.951,CANCELLED,3762e5a67bc3633a,16A,39cd087b18a57ca8,+91-8280XXXX43,False
B1052,P1128,UK209,2025-12-30 11:37:36.951,CANCELLED,97e83f0dac27404a,33B,477d3639e6dc47d0,+91-9105XXXX26,False
B1053,P1598,UK216,2026-04-01 11:37:36.951,PENDING,c53365d0e4449fbc,28B,631d9a843b4255a5,+91-9306XXXX09,False
B1054,P1841,AI132,2026-04-11 11:37:36.951,CANCELLED,d46a7b06a9265633,19C,8e5b58146a2a40de,+91-7761XXXX91,False
B1055,P1425,6F012,2025-10-14 11:37:36.951,CANCELLED,7260553ceb4d0175,13F,aa1d43405697bcbb,+91-8842XXXX84,False
B1056,P1947,UK173,2026-03-24 11:37:36.951,CANCELLED,12911dc72f8da4fc,15B,e7b32de85d9f68ef,+91-6885XXXX81,False
B1057,P1664,SJ047,2025-08-20 11:37:36.951,CANCELLED,4414d3927d0ce89b,14F,d8866110356a35ec,+91-6991XXXX63,False
B1058,P1693,SJ043,2025-12-07 11:37:36.951,PENDING,c9875421169dbfa3,8C,88cd356aa7b67b6a,+91-8541XXXX81,False
B1059,P1124,UK140,2026-01-03 11:37:36.951,CONFIRMED,e2b1bbccda8fa1b3,23B,bd288aa5d7380381,+91-7626XXXX33,False
B1060,P1066,6F086,2025-12-30 11:37:36.951,CONFIRMED,92627b0de676049f,11A,deb852566fdce922,+91-6903XXXX13,False
B1061,P1005,6F114,2026-04-05 11:37:36.951,CANCELLED,84e8e53a9d0a1d8e,19C,f4d52547db3c8067,+91-7557XXXX30,False
B1062,P1636,UK153,2025-06-12 11:37:36.951,CANCELLED,d3c46db2b1b036df,15D,177084f44e43da3e,+91-7839XXXX50,False
B1063,P1313,6F149,2025-05-19 11:37:36.951,CANCELLED,657c0a9e3195d663,9A,804e3fb39259e052,+91-7792XXXX81,False
B1064,P1325,UK145,2025-09-14 11:37:36.951,CONFIRMED,2a69fa4a3d69976a,24E,b7c699fa18416a25,+91-8840XXXX18,False
B1065,P1564,UK010,2026-03-06 11:37:36.951,CANCELLED,7e51c49410d05ad1,7B,75fe0fe4631ea4d0,+91-8370XXXX91,False
B1066,P1577,SJ003,2025-11-05 11:37:36.951,PENDING,52edf247f88859ef,1B,021b06a58e6a72e5,+91-6451XXXX25,False
B1067,P1825,SJ160,2025-07-23 11:37:36.951,PENDING,ce502de4192c8c82,7F,9abfd2e15db7aaa8,+91-8874XXXX25,False
B1068,P1505,UK224,2025-11-22 11:37:36.951,PENDING,47ca7f96af3bc675,23A,b291bcdae14ac386,+91-9606XXXX82,False
B1069,P1081,UK152,2025-08-02 11:37:36.951,CONFIRMED,f8d2d9bff6bb78e4,16E,21b0de941e8bdacd,+91-8629XXXX69,False
B1070,P1598,SJ034,2025-09-22 11:37:36.951,CANCELLED,04289074e2975772,15D,4e0b2b5acf711b01,+91-6320XXXX28,False
B1071,P1001,UK215,2025-12-21 11:37:36.951,CANCELLED,8b5f461d39881124,15F,ef3bd1a7161631f6,+91-7334XXXX70,False
B1072,P1203,UK089,2025-08-10 11:37:36.951,CANCELLED,265d6b740d675a72,18F,cb31f852f5b25780,+91-9324XXXX08,False
B1073,P1661,6F180,2025-12-04 11:37:36.951,CONFIRMED,143dac713a380fda,16A,91004df6c6ea156e,+91-9839XXXX71,False
B1074,P1804,6F188,2025-09-25 11:37:36.951,CONFIRMED,19a04488d9a67b41,7A,c7e2fd61579f6cc5,+91-7718XXXX04,False
B1075,P1403,UK131,2026-01-03 11:37:36.951,CONFIRMED,81965c4477a8ec20,2F,4fd7502d446be559,+91-6773XXXX96,False
B1076,P1102,UK055,2025-05-04 11:37:36.951,CONFIRMED,a4522a4a26e500ee,12B,e8fa3fe2ddbf7d39,+91-7312XXXX50,False
B1077,P1535,UK181,2025-05-03 11:37:36.951,PENDING,e902196dff5f16a4,3A,d7542cc972c9e253,+91-7493XXXX92,False
B1078,P1367,6F077,2025-09-21 11:37:36.951,CONFIRMED,c07bf93ea503d4e2,1B,2f1fa798e5859484,+91-8137XXXX16,False
B1079,P1211,SJ085,2025-06-03 11:37:36.951,CONFIRMED,53750482e8d8575b,10D,d82bffdb6058d7cb,+91-6566XXXX19,False
B1080,P1576,SJ023,2025-06-05 11:37:36.951,CONFIRMED,7427fddf7257541c,22D,bf4a650a1a099e17,+91-7989XXXX58,False
B1081,P1960,SJ202,2025-11-13 11:37:36.951,CANCELLED,7d453f93e4e7e91e,29C,1951659f7645a215,+91-8379XXXX00,False
B1082,P1208,SJ150,2025-09-09 11:37:36.951,CANCELLED,955c582c51626732,30A,a40674b3c86e107a,+91-6955XXXX69,False
B1083,P1762,SJ116,2025-05-12 11:37:36.951,CANCELLED,98e8266375628804,9A,54ea71b885bf70a8,+91-7678XXXX87,False
B1084,P1896,6F270,2025-06-14 11:37:36.951,PENDING,a1920b23e5a146a5,16E,3571eb79a033f60b,+91-6464XXXX88,False
B1085,P1116,UK150,2026-03-24 11:37:36.951,PENDING,353ce30b90443391,12A,18f6f4eaec4d1f70,+91-9626XXXX29,False
B1086,P1627,SJ237,2026-02-16 11:37:36.951,CONFIRMED,7be3a4100cce4c54,5D,8e55e296035873af,+91-6892XXXX83,False
B1087,P1748,AI221,2025-05-08 11:37:36.951,CANCELLED,12507bfb3f158aef,2F,98c6728055245f8f,+91-6969XXXX74,False
B1088,P1477,SJ081,2026-03-25 11:37:36.951,PENDING,de8d34db0e6d3890,31A,d0124a4073e6de48,+91-9941XXXX33,False
B1089,P1104,UK189,2025-09-03 11:37:36.951,CANCELLED,a708760c74cb827f,25F,c7e953346867b7b3,+91-6953XXXX22,False
B1090,P1494,SJ068,2025-05-16 11:37:36.951,PENDING,ad71105fdcdbe472,31C,6b9e8e856ab851cd,+91-9660XXXX75,False
B1091,P1770,6F043,2025-08-18 11:37:36.951,PENDING,6e800f74405c411e,25D,3213ba9da2e594c2,+91-6644XXXX87,False
B1092,P1045,UK187,2026-03-18 11:37:36.951,CONFIRMED,e7c35bcaf8c494a6,16D,b607c669c239a6f1,+91-8783XXXX73,False
B1093,P1822,UK074,2025-05-11 11:37:36.951,CONFIRMED,3eb74c41411760a9,25E,dc3b9e609c7d2769,+91-6353XXXX31,False
B1094,P1330,UK004,2026-01-07 11:37:36.951,PENDING,d97893aae0bc6855,24C,ed1ce007f64ad17e,+91-7943XXXX57,False
B1095,P1215,6F194,2025-07-30 11:37:36.951,CONFIRMED,5886c76686b7f729,14B,35da8ac1a6c592e9,+91-9746XXXX55,False
B1096,P1981,UK068,2026-01-03 11:37:36.951,PENDING,4df663964e4343a1,12B,8d5c24c46a154aba,+91-6165XXXX67,False
B1097,P1959,6F017,2025-08-26 11:37:36.951,UNKNOWN,19e0e02ef6e7e8d9,34F,3f330ac332164bac,+91-6380XXXX57,False
B1098,P1491,6F245,2025-10-15 11:37:36.951,UNKNOWN,bad0e2a75cd42d0b,13D,5bc4cb749e2c4ae0,+91-7667XXXX75,False
B1099,P1812,6F254,2025-12-07 11:37:36.951,CONFIRMED,a30de20be9428649,26E,9d5f879711f59483,+91-8879XXXX08,False
B1100,P1921,UK077,2026-03-05 11:37:36.951,CONFIRMED,ed4044cc661df666,16D,2d5b8024730a8a10,+91-7495XXXX23,False
B1101,P1844,AI029,2025-07-19 11:37:36.951,CONFIRMED,ca3e13f94c6e3f0c,3D,a354052132ea8558,+91-8778XXXX41,False
B1102,P1448,SJ196,2025-10-06 11:37:36.951,INVALID,08909c5c38a0a4b1,15F,5f834d87f71c841d,+91-8464XXXX24,True
B1103,P1535,AI242,2025-08-08 11:37:36.951,CANCELLED,8e4f89e0f8c0467d,20D,617ebb1bda8e2735,+91-8412XXXX95,False
B1104,P1510,AI242,2025-09-12 11:37:36.951,CANCELLED,53eb13e9620d2066,16E,bab81589d1a2210d,+91-7991XXXX92,False
B1105,P1457,SJ044,2025-09-11 11:37:36.951,CONFIRMED,ee7de2b6190d66d1,19F,6895a79d0c40d047,+91-6412XXXX65,False
B1106,P1546,UK063,2025-09-01 11:37:36.951,CONFIRMED,7a6efb89ef600670,21F,919a11d5ef2f03f1,+91-6523XXXX68,False
B1107,P1535,AI056,2025-05-19 11:37:36.951,CONFIRMED,4f3e642858b37376,30F,f13d5df94d517cd5,+91-6684XXXX39,False
B1108,P1539,UK207,2025-10-11 11:37:36.951,CANCELLED,4e3326ce970a4d60,14B,e9c3d3a991a30c7b,+91-9791XXXX49,False
B1109,P1483,UK166,2025-12-03 11:37:36.951,CANCELLED,58f3b184da5237ee,33D,db3765748f4f0f4d,+91-8518XXXX63,False
B1110,P1975,6F261,2025-12-17 11:37:36.951,PENDING,cc9aa58c7d5ec5ef,12B,4775bc367e33077b,+91-6970XXXX43,False
B1111,P1999,UK134,2025-12-25 11:37:36.951,CANCELLED,0b8a1f4901c85439,34A,e88f5ef3aceeb69a,+91-7839XXXX27,False
B1112,P1015,6F152,2025-10-02 11:37:36.951,PENDING,10e70d7442d955cc,27A,3e367c8a033e20a2,+91-7520XXXX11,False
B1113,P1570,SJ089,2025-11-23 11:37:36.951,CONFIRMED,195694504cf561b9,5A,ef66b820a989c360,+91-8216XXXX89,False
B1114,P1976,6F123,2025-09-26 11:37:36.951,CANCELLED,ae991bef7659faca,2E,229fdb71f8000941,+91-7912XXXX35,False
B1115,P1242,AI025,2025-08-23 11:37:36.951,CONFIRMED,10b0f5c688e0714e,10A,0a72067ff16e0c12,+91-7584XXXX24,False
B1116,P1949,6F030,2025-12-05 11:37:36.951,CONFIRMED,ef9c7e16471c47b8,19B,6bd817aa2528d388,+91-9902XXXX77,False
B1117,P1206,SJ222,2025-09-02 11:37:36.951,CONFIRMED,cc9f3f5ac2c55b13,28F,3ac6ef84aa485ad9,+91-6657XXXX73,False
B1118,P1911,UK109,2026-04-03 11:37:36.951,CONFIRMED,2dcf65dd86c7e37d,34B,74265e401bd280b7,+91-8519XXXX42,False
B1119,P1270,SJ117,2025-11-25 11:37:36.951,CANCELLED,c254fceda3324194,21F,b353f05b35e0edae,+91-7207XXXX20,False
B1120,P1760,SJ142,2025-08-12 11:37:36.951,CONFIRMED,d9f2e8341aef3dab,12D,802ab569cddbf707,+91-6621XXXX77,False
B1121,P1993,SJ142,2025-06-01 11:37:36.951,PENDING,406645faee532263,17C,3a2bd1f440353f60,+91-6224XXXX80,False
B1122,P1778,AI030,2025-05-02 11:37:36.951,CANCELLED,4e2215bd8394f82c,20B,bf64405862b39ae9,+91-9816XXXX59,False
B1123,P1704,6F097,2025-09-23 11:37:36.951,CONFIRMED,e7e3108d4cceccb2,8A,c8cb3dce9b310859,+91-6816XXXX40,False
B1124,P1846,6F129,2025-05-23 11:37:36.951,CANCELLED,d2b01ffccc53a0c6,5C,d0d1578da3b5144d,+91-8716XXXX53,False
B1125,P1729,6F181,2026-01-15 11:37:36.951,PENDING,060cc2d3dea70e41,27E,0d0be44f1cac0ec9,+91-9938XXXX64,False
B1126,P1114,AI072,2025-10-20 11:37:36.951,CONFIRMED,72ba23b34d782bf4,10E,42acb87c1b394359,+91-8721XXXX18,False
B1127,P1579,SJ154,2025-06-29 11:37:36.951,PENDING,702daf59541b11f0,2E,7daf3d1d7d7757ad,+91-8711XXXX41,False
B1128,P1298,AI031,2026-04-08 11:37:36.951,CONFIRMED,7eae79b2a26a6cae,10D,2a61ea00d0f6c0d1,+91-9705XXXX64,False
B1129,P1836,AI031,2025-09-18 11:37:36.951,PENDING,4c5e9f65dfef2210,26F,ee36d1501788c6b7,+91-6590XXXX94,False
B1130,P1482,6F158,2025-12-26 11:37:36.951,CONFIRMED,c32d84891f3a3c96,34E,216ec679e7eb42af,+91-7449XXXX53,False
B1131,P1396,6F184,2025-06-16 11:37:36.951,CANCELLED,3c052490fc8ffd6e,1C,060ae20b6e87a4e4,+91-9812XXXX03,False
B1132,P1393,UK141,2025-06-20 11:37:36.951,CONFIRMED,2f53d1bfd99e3612,10D,d1f2871e7f7d6eda,+91-8684XXXX75,False
B1133,P1074,6F168,2025-12-29 11:37:36.951,CANCELLED,9f9c98079282778b,23D,7978e6f8e4f63986,+91-6990XXXX96,False
B1134,P1977,6F051,2025-07-28 11:37:36.951,CONFIRMED,ffd2093e0e8e24b0,34C,ea8821ab14243bb4,+91-8905XXXX54,False
B1135,P1481,6F047,2025-12-02 11:37:36.951,CONFIRMED,7c259669c844e3fd,20E,dfa195cc4bd4dc8f,+91-8772XXXX06,False
B1136,P1102,UK156,2025-10-26 11:37:36.951,PENDING,884aae1bc9d1b6b8,28E,e7814a4463d7e8d7,+91-9517XXXX68,False
B1137,P1296,AI094,2025-09-01 11:37:36.951,PENDING,5c5fb2cb154292b3,13E,f4f83ba27c2c56a7,+91-8984XXXX93,False
B1138,P1177,AI038,2025-07-14 11:37:36.951,PENDING,07f627accda72298,6C,5226114561990418,+91-6892XXXX34,False
B1139,P1214,6F255,2026-01-19 11:37:36.951,CONFIRMED,d1dfb73c15638316,29F,50adeb50d36bda59,+91-9773XXXX57,False
B1140,P1966,SJ025,2026-01-23 11:37:36.951,CONFIRMED,0966773c42874eec,29D,e380ae048b86c6c6,+91-8519XXXX00,False
B1141,P1314,SJ185,2025-10-28 11:37:36.951,CONFIRMED,89fb470f7449db73,9C,63d2386a894c9aa9,+91-6696XXXX55,False
B1142,P1038,6F259,2026-01-21 11:37:36.951,CANCELLED,85bd77f629abfe86,5C,0dfa16c8f6b063db,+91-6526XXXX71,False
B1143,P1258,6F073,2026-04-07 11:37:36.951,CANCELLED,574145672f60be31,15A,8e7d065f466ebd1c,+91-7437XXXX40,False
B1144,P1715,AI091,2025-09-26 11:37:36.951,CONFIRMED,a096659b2f5e6fc5,6D,805733cd23017bf2,+91-6320XXXX96,False
B1145,P1006,6F191,2025-08-23 11:37:36.951,PENDING,32c9c00ec6dde2e3,15D,4161d65d703f4ca0,+91-7986XXXX15,False
B1146,P1048,UK228,2025-08-30 11:37:36.951,PENDING,312815568e92c2e9,25A,9054cf63df144a03,+91-7334XXXX50,False
B1147,P1537,6F146,2026-03-25 11:37:36.951,PENDING,c617c55626c06f0d,11E,70a9605590401f57,+91-8151XXXX30,False
B1148,P1160,6F068,2025-10-13 11:37:36.951,CONFIRMED,458aa6a910a2099a,19A,8b02227d4b248027,+91-7585XXXX72,False
B1149,P1868,SJ218,2026-01-08 11:37:36.951,PENDING,3bd10b2842752509,30F,70eeda8f6f19d976,+91-9816XXXX28,False
B1150,P1175,UK083,2025-09-25 11:37:36.951,CONFIRMED,d6a03f5c9cce0b23,12A,e34c7ea933d10095,+91-7380XXXX34,False
B1151,P1590,SJ007,2026-01-18 11:37:36.951,CANCELLED,e1b2a5699b1ea716,29B,cb927b7e5ccec338,+91-9987XXXX85,False
B1152,P1001,AI077,2025-08-14 11:37:36.951,PENDING,3a64600bfcb23889,27A,ad97c523edc01bd9,+91-8345XXXX02,False
B1153,P1894,UK017,2025-12-20 11:37:36.951,CANCELLED,a8a9ea108948affd,8D,8ea49a5615311216,+91-9851XXXX50,False
B1154,P1454,6F229,2026-02-17 11:37:36.951,PENDING,e898fb7f313aee9c,24A,69f4436c10dc9d08,+91-9680XXXX05,False
B1155,P1927,6F074,2025-10-08 11:37:36.951,CONFIRMED,08507f07099e579c,6D,0c4613c3f75398f6,+91-8115XXXX00,False
B1156,P1643,SJ088,2026-03-25 11:37:36.951,CONFIRMED,a0cc6d9c1252add5,5E,30f321f54644096c,+91-7178XXXX35,False
B1157,P1275,SJ167,2025-06-28 11:37:36.951,CONFIRMED,bac806731a917f01,18B,a92e3633343d6dec,+91-9769XXXX80,False
B1158,P1497,6F234,2025-07-20 11:37:36.951,CONFIRMED,5fa0a262680fb54f,22A,67123a0c49eca3e5,+91-7811XXXX87,False
B1159,P1628,UK071,2025-12-10 11:37:36.951,PENDING,02eee980627b807c,22F,98800f09600caee4,+91-6795XXXX86,False
B1160,P1675,AI178,2025-11-21 11:37:36.951,CANCELLED,e5358780041628a8,29A,714ef25278439323,+91-8292XXXX04,False
B1161,P1799,UK104,2025-11-14 11:37:36.951,CONFIRMED,58146e7e04f7d92a,12A,6c028f865fbfff13,+91-9395XXXX74,False
B1162,P1027,AI146,2025-04-22 11:37:36.951,INVALID,3f3aa3d72a55a6c9,32D,f92f5dbf441dfcbb,+91-7769XXXX90,True
B1163,P1332,SJ235,2025-11-10 11:37:36.951,CANCELLED,97a55f4870cd12ba,13D,c17a948dfc65f93e,+91-6948XXXX87,False
B1164,P1000,6F209,2025-04-24 11:37:36.951,CONFIRMED,07bfcc74d2289c7d,24A,d418d2959abfb161,+91-8132XXXX71,False
B1165,P1187,AI129,2025-08-20 11:37:36.951,CANCELLED,7b0f442e7a43e742,2F,a7099865cafdf78e,+91-6280XXXX67,False
B1166,P1055,SJ141,2026-01-23 11:37:36.951,CONFIRMED,fdf7068c97e67e7a,34D,2dba165acd0e6a2f,+91-9737XXXX90,False
B1167,P1546,SJ018,2026-02-02 11:37:36.951,CANCELLED,f8aa0df06745fedb,9F,05560c183fbcff77,+91-8947XXXX54,False
B1168,P1111,UK120,2025-10-14 11:37:36.951,CANCELLED,f9d37b7ed42fd9ff,11C,40842b851a43ab4c,+91-6834XXXX69,False
B1169,P1797,AI078,2025-11-15 11:37:36.951,CONFIRMED,d01201acb801ace4,11E,104f092b2dd51057,+91-7533XXXX97,False
B1170,P1309,AI079,2025-09-14 11:37:36.951,PENDING,453cc107a788f5af,15E,c1f430e38693db52,+91-6701XXXX39,False
B1171,P1035,UK087,2025-09-19 11:37:36.951,CANCELLED,aaa6648abb5b80e9,21A,9436683e9d9fbc2d,+91-8911XXXX30,False
B1172,P1438,UK133,2026-01-17 11:37:36.951,CONFIRMED,c9290abeacc4a22c,8F,9ca811fa1670439c,+91-6993XXXX00,False
B1173,P1728,AI222,2025-06-01 11:37:36.951,CANCELLED,4db76a69d9effe85,22E,24bde16a4ee7e9c8,+91-7388XXXX97,False
B1174,P1591,6F049,2026-04-12 11:37:36.951,CANCELLED,c9355dca29a68120,19D,9197c42b3cdba26f,+91-6450XXXX87,False
B1175,P1825,6F105,2026-01-29 11:37:36.951,PENDING,b8651dbed5b49002,27D,e638c75c2de2664a,+91-6355XXXX63,False
B1176,P1594,SJ226,2025-04-17 11:37:36.951,CANCELLED,c1f1111df3467020,7C,0fdb619cc8a0fa9d,+91-6137XXXX27,False
B1177,P1576,SJ227,2025-07-29 11:37:36.951,CANCELLED,914f27e3a4865142,34D,ce98d9e0dca1bc0d,+91-6749XXXX63,False
B1178,P1324,6F034,2026-02-05 11:37:36.951,CONFIRMED,dbd2056834e1f698,34E,216a08244be0cb23,+91-8531XXXX98,False
B1179,P1639,SJ078,2025-10-03 11:37:36.951,CONFIRMED,7304d3bfa5937d9b,33D,cdaa55f7399d371a,+91-9678XXXX66,False
B1180,P1306,AI240,2026-04-10 11:37:36.951,PENDING,44efa65de60735f2,22F,13189e1785ea0d84,+91-8681XXXX58,False
B1181,P1533,SJ002,2026-03-29 11:37:36.951,CANCELLED,94d52f539829284c,12E,25d9675d9b4f71f3,+91-7426XXXX69,False
B1182,P1727,AI044,2025-08-11 11:37:36.951,CANCELLED,7934c4a80b91e5b7,3A,53f5672e6ad7cf09,+91-7960XXXX21,False
B1183,P1618,UK076,2025-06-22 11:37:36.951,CANCELLED,36f9e59304c39771,8C,98c1a9180c3d8624,+91-8174XXXX52,False
B1184,P1108,6F232,2025-08-01 11:37:36.951,PENDING,d825603eff8dd0e1,28E,ed02883a9d1b253a,+91-7832XXXX90,False
B1185,P1371,SJ228,2025-08-16 11:37:36.951,CANCELLED,6db2cff682fb036a,25E,ecca821bb6618dcb,+91-9254XXXX42,False
B1186,P1356,SJ074,2026-04-04 11:37:36.951,CONFIRMED,7d7a0acc21f8b04e,1B,6e0fff2fa29003ff,+91-8653XXXX13,False
B1187,P1180,UK229,2025-08-04 11:37:36.951,PENDING,157adcaaae414b19,7F,d1f86873b3242757,+91-7304XXXX08,False
B1188,P1355,AI208,2026-04-04 11:37:36.951,CONFIRMED,573299a9163baf4b,6A,d6ac0f34a9995c83,+91-9892XXXX82,False
